date,signal_value
2026-08-16,90461.96
2026-08-16,90431.34
2026-08-16,90388.76
2026-08-16,90347.1
2026-08-16,90385.82
2026-08-17,90381.82
2026-08-17,90458.7
2026-08-17,90557.13
2026-08-17,90599.37
2026-08-17,90596.61
2026-08-17,90596.61
2026-08-17,90585.04
2026-08-17,90626.54
2026-08-17,90589.19
2026-08-17,90446.82
2026-08-17,90505.61
2026-08-17,90631.22
2026-08-17,90605.17
2026-08-17,90561.07
2026-08-17,90609.49
2026-08-17,90628.35
2026-08-17,90665.96
2026-08-17,90648.11
2026-08-17,90639.28
2026-08-17,90633.91
2026-08-17,90649.26
2026-08-17,90671.18
2026-08-17,90606.69
2026-08-17,90610.53
2026-08-17,90703.18
2026-08-18,90712.72
2026-08-18,90650.08
2026-08-18,90558.2
2026-08-18,91032.22
2026-08-18,91051.46
2026-08-18,91308.28
2026-08-18,91383.16
2026-08-18,91313.74
2026-08-18,91132.56
2026-08-18,91385.86
2026-08-18,91740.85
2026-08-18,91557.91
2026-08-18,91590.23
2026-08-18,91513.09
2026-08-18,92267.08
2026-08-18,91872.89
2026-08-18,92002.56
2026-08-18,91830.55
2026-08-18,91907.13
2026-08-18,91977.36
2026-08-18,91804.1
2026-08-18,91716.71
2026-08-18,91423.06
2026-08-18,91805.68
2026-08-19,91738.81
2026-08-19,92002.32
2026-08-19,91997.86
2026-08-19,92090.55
2026-08-19,92314.63
2026-08-19,92261.23
2026-08-19,92404.98
2026-08-19,92366.6
2026-08-19,92131.03
2026-08-19,92372.56
2026-08-19,92429.95
2026-08-19,92539.08
2026-08-19,92452.96
2026-08-19,92307.25
2026-08-19,93116.57
2026-08-19,93677.63
2026-08-19,93378.28
2026-08-19,93378.28
2026-08-19,93378.28
2026-08-19,93378.28
2026-08-19,93415.68
2026-08-19,93371.8
2026-08-19,93371.8
2026-08-19,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-20,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-21,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-22,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93371.8
2026-08-23,93656.54
2026-08-23,93599.11
2026-08-24,93675.68
2026-08-24,93847.97
2026-08-24,93847.97
2026-08-24,93687.17
2026-08-24,93733.11
2026-08-24,93736.94
2026-08-24,93782.88
2026-08-24,93851.8
2026-08-24,93844.14
2026-08-24,93763.74
2026-08-24,93886.26
2026-08-24,93943.69
2026-08-24,93943.69
2026-08-24,93970.49
2026-08-24,93913.06
2026-08-24,93966.66
2026-08-24,94020.26
2026-08-24,93978.15
2026-08-24,93997.29
2026-08-24,94173.41
2026-08-24,94173.41
2026-08-24,94173.41
2026-08-24,93928.38
2026-08-24,93936.03
2026-08-25,93936.03
2026-08-25,93932.2
2026-08-25,94138.95
2026-08-25,94043.24
2026-08-25,94119.81
2026-08-25,94081.52
2026-08-25,94054.72
2026-08-25,94158.1
2026-08-25,94253.81
2026-08-25,94242.33
2026-08-25,94357.19
2026-08-25,94280.62
2026-08-25,94364.85
2026-08-25,94269.13
2026-08-25,94058.55
2026-08-25,94265.3
2026-08-25,94119.81
2026-08-25,94253.81
2026-08-25,94085.35
2026-08-25,94261.47
2026-08-25,93646.7
2026-08-25,93865.38
2026-08-25,93560.66
2026-08-25,93861.75
2026-08-26,93936.82
2026-08-26,94386.83
2026-08-26,94209.6
2026-08-26,93949.22
2026-08-26,94052.89
2026-08-26,94244.07
